double_TESUA:2,14.651972463,121.058466044,0.0141,0.0148,108.3837,30,34.50,4.62*000101003500
site,fix,lat,lon,hacc,vacc,msl,sat_num,temp,volt,ts
site,fix,lat,lon,hacc,vacc,msl,sat_num,temp,volt,ts
site,fix,lat,lon,hacc,vacc,msl,sat_num,temp,volt,ts
site,fix,lat,lon,hacc,vacc,msl,sat_num,temp,volt,ts
site,fix,lat,lon,hacc,vacc,msl,sat_num,temp,volt,ts
site,fix,lat,lon,hacc,vacc,msl,sat_num,temp,volt,ts
double_TESUA:2,10.988979350,90.793849588,0.0106,0.0105,81.2812,30,34.75,4.61*000101003520
double_TESUA:2,14.651972432,121.058466161,0.0141,0.0163,108.3691,29,34.75,4.62*000101003610
double_TESUA:2,14.651972478,121.058466116,0.0141,0.0148,108.3537,30,34.50,4.62*000101003629
double_TESUA:2,26.373550483,217.905239028,0.0254,0.0267,195.0399,32,34.50,4.60*000101003709
double_TESUA:2,14.651972500,121.058466120,0.0141,0.0138,108.3612,32,34.50,4.61*000101003727
double_TESUA:2,9.767981673,80.705644099,0.0094,0.0075,72.2482,32,34.50,4.51*000101003743
double_TESUA:2,14.651972498,121.058466171,0.0141,0.0129,108.3856,32,34.50,4.60*000101003801
double_TESUA:2,14.651972509,121.058466166,0.0141,0.0133,108.3850,32,34.50,4.61*000101003820
>>TESUA:No Ublox data*231023151013
TESUA^REC'D_
double_TESUA:2,14.651972498,121.058466147,0.0141,0.0134,108.3868,32,34.50,4.60*000101003838
TESUA*VOLT:3.86
TESUA^REC'D_
double_TESUA:2,14.651972511,121.058466130,0.0141,0.0136,108.3893,31,34.50,4.60*000101003856
double_TESUA:2,14.651972496,121.058466129,0.0141,0.0136,108.3899,31,34.50,4.62*000101003914
double_TESUA:2,25.640951918,211.852315723,0.0247,0.0217,189.6686,31,34.50,4.60*000101003939
double_TESUA:2,14.651972522,121.058466075,0.0141,0.0129,108.3876,31,34.50,4.61*000101003953
double_TESUA:2,12.209977096,100.882055111,0.0118,0.0113,90.3144,31,34.50,4.60*000101004021
double_TESUA:2,nan,nan,nan,nan,nan,31,34.50,4.61*000101004038
double_TESUA:2,14.651972548,121.058466140,0.0141,0.0148,108.4288,31,34.50,4.61*000101004056
double_TESUA:2,14.651972521,121.058466164,0.0141,0.0145,108.4173,31,34.50,4.61*000101004127
double_TESUA:2,14.651972532,121.058466205,0.0141,0.0155,108.4188,31,34.00,4.60*000101004145
double_TESUA:2,nan,nan,nan,nan,nan,31,34.00,4.62*000101004203
double_TESUA:2,nan,nan,nan,nan,nan,31,34.00,4.60*000101004221
