ts,bus_voltage,shunt_voltage,load_voltage,current,power
230823182244,2.61,0.12,2.61,1.30,4.00
230823182244,2.62,0.12,2.62,1.30,4.00
230823182245,2.62,0.13,2.62,1.50,4.00
230823182245,2.62,0.09,2.62,1.30,4.00
230823182245,2.62,0.10,2.62,1.30,4.00
230823182245,2.61,0.14,2.61,1.20,4.00
230823182245,2.62,0.14,2.62,1.30,4.00
230823182245,2.62,0.12,2.62,1.40,4.00
230823182245,2.62,0.13,2.62,1.40,4.00
230823182246,2.61,0.11,2.61,1.30,4.00
230823182246,2.62,0.11,2.62,1.10,4.00
230823182246,2.62,0.12,2.62,0.90,4.00
230823182246,2.62,0.11,2.62,1.00,4.00
230823182246,2.62,0.11,2.62,1.30,4.00
230823182246,2.62,0.13,2.62,1.20,4.00
230823182246,2.62,0.14,2.62,1.40,4.00
230823182247,2.62,0.12,2.62,1.20,4.00
230823182247,2.62,0.10,2.62,1.10,4.00
230823182247,2.62,0.13,2.62,1.30,4.00
230823182247,2.62,0.12,2.62,1.10,4.00
230823182247,2.62,0.11,2.62,1.40,4.00
230823182247,2.62,0.13,2.62,1.10,4.00
230823182247,2.62,0.17,2.62,1.10,4.00
230823182247,2.62,0.12,2.62,1.50,4.00
230823182248,2.61,0.13,2.61,1.30,4.00
230823182248,2.62,0.12,2.62,1.30,4.00
230823182248,2.62,0.14,2.62,1.30,4.00
230823182248,2.62,0.10,2.62,0.90,4.00
230823182248,2.62,0.10,2.62,1.20,4.00
230823182248,2.61,0.12,2.61,1.30,4.00
230823182248,2.61,0.11,2.61,1.10,4.00
230823182249,2.62,0.13,2.62,1.20,4.00
230823182249,2.62,0.11,2.62,1.20,4.00
230823182249,2.62,0.11,2.62,1.30,4.00
230823182249,2.61,0.15,2.61,1.10,4.00
230823182249,2.62,1.53,2.62,15.40,40.00
230823182249,2.62,1.62,2.62,16.30,42.00
230823182249,2.61,2.14,2.61,21.60,56.00
230823182249,2.62,2.08,2.62,20.60,52.00
230823182250,2.62,2.08,2.62,20.90,56.00
230823182250,2.62,1.95,2.62,19.90,52.00
230823182250,2.62,3.25,2.62,32.90,86.00
230823182250,2.62,3.30,2.62,32.80,86.00
230823182250,2.62,3.29,2.62,33.10,88.00
230823182250,2.61,3.29,2.62,33.20,86.00
230823182250,2.62,2.81,2.62,28.30,72.00
230823182251,2.62,2.82,2.62,28.30,76.00
230823182251,2.62,3.16,2.62,31.10,78.00
230823182251,2.62,3.98,2.62,42.80,112.00
230823182251,2.62,4.04,2.62,40.20,104.00
230823182251,2.61,4.62,2.62,47.50,122.00
